accuracy,f1,auc,precision,recall,specificity,#leaves,#nodes,#rules,max_depth,avg_depth,features_used,imbalanced,fit_time,predict_time,model,problem
0.9854545454545455,0.984251968503937,0.9853692274952117,0.984251968503937,0.984251968503937,0.9864864864864865,15.7,30.4,14.7,5,5.0,4,,26.989720344543457,0.0,RF,BANKNOTE
0.6379310344827587,0.08695652173913043,0.5164064988849952,0.6666666666666666,0.046511627906976744,0.9863013698630136,4.0,7.0,3.0,2,2.0,8,,22.67145299911499,0.0,RF,ILPD
0.9154929577464789,0.9333333333333333,0.8990863787375415,0.8936170212765957,0.9767441860465116,0.8214285714285714,9.07,17.14,8.07,4,4.0,33,,22.43423819541931,0.0,RF,IONOSPHERE
0.76,0.3076923076923077,0.5771346567806744,0.5333333333333333,0.21621621621621623,0.9380530973451328,24.6,48.2,23.6,5,5.0,4,,21.442667722702026,0.0,RF,TRANSFUSION
0.7536231884057971,0.8172043010752689,0.7116402116402116,0.7450980392156863,0.9047619047619048,0.5185185185185185,19.44,37.88,18.44,5,5.0,6,,20.207924842834473,0.0,RF,LIVER
0.828125,0.8817204301075269,0.7606567164179104,0.7987012987012987,0.984,0.5373134328358209,28.68,56.36,27.68,5,5.0,27,,22.153291940689087,0.0,RF,TICTACTOE
0.9649122807017544,0.9523809523809523,0.9580740255486406,0.975609756097561,0.9302325581395349,0.9859154929577465,11.52,22.04,10.52,4,4.0,30,,25.429976224899292,0.0,RF,WDBC
0.9879302637460885,0.6493506493506493,0.7495427526291724,0.9259259259259259,0.5,0.9990855052583447,23.1,45.2,22.1,5,5.0,6,,52.44277882575989,0.0,RF,MAMMOGRAPHY
0.7727272727272727,0.6666666666666666,0.7424242424242424,0.7,0.6363636363636364,0.8484848484848485,23.86,46.72,22.86,5,5.0,8,,21.952555418014526,0.0,RF,DIABETES_PIMA
0.9787234042553191,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,15.9,30.8,14.9,5,5.0,42,,27.25968837738037,0.0,RF,OILSPILL
0.8297872340425532,0.6973684210526315,0.7841245982776803,0.7210884353741497,0.6751592356687898,0.8930899608865711,28.6,56.2,27.6,5,5.0,5,,44.5878963470459,0.0,RF,PHONEME
0.8571428571428571,0.8571428571428571,,,,,9.84,18.68,8.84,4,4.0,7,,20.427687168121338,0.0,RF,SEEDS
1.0,1.0,,,,,8.6,16.2,7.6,4,3.85,13,,20.694536447525024,0.0,RF,WINE
0.7674418604651163,0.7674418604651163,,,,,16.72,32.44,15.719999999999999,5,5.0,9,,21.17705273628235,0.0,RF,GLASS
0.8823529411764706,0.8823529411764706,,,,,12.98,24.96,11.98,4,4.0,7,,21.170270919799805,0.016888141632080078,RF,ECOLI
0.9907692307692307,0.9911816578483245,0.9904092071611252,0.9825174825174825,1.0,0.9808184143222506,14.7,28.4,13.7,5,5.0,85,,37.26208424568176,0.015618562698364258,RF,MUSHROOM
0.8007165248544559,0.7871831659493066,0.7994686212445405,0.8037109375,0.7713214620431116,0.8276157804459692,27.92,54.84,26.92,5,5.0,50,,46.529860496520996,0.015634536743164062,RF,BANK_MKT
0.9836065573770492,0.9824561403508771,0.9848484848484849,0.9655172413793104,1.0,0.9696969696969697,13.6,26.2,12.6,5,4.7,26,,20.28663396835327,0.0,RF,HEARTS
0.9431818181818182,0.7875354107648725,0.8302856601449619,0.9652777777777778,0.6650717703349283,0.9954995499549955,25.25,49.5,24.25,5,5.0,166,,107.41074061393738,0.015623807907104492,RF,MUSK
0.8378023133543638,0.8843486410496719,0.7875072590011615,0.8205217391304348,0.9589430894308943,0.6160714285714286,29.93,58.86,28.93,5,5.0,10,,171.18300700187683,0.01562976837158203,RF,MAGIC
0.7153846153846154,0.7153846153846154,,,,,26.95,52.9,25.95,5,5.0,32,,20.805283308029175,0.0,RF,STUDENT
0.8421618301857823,0.5584192439862543,0.6960490254746272,0.8586525759577279,0.4137492043284532,0.9783488466208013,28.22,55.44,27.22,5,5.0,95,,93.08197736740112,0.03127741813659668,RF,ADULT
0.6846590909090909,0.6686567164179105,0.6877507496956277,0.6274509803921569,0.7156549520766773,0.659846547314578,8.0,15.0,7.0,3,3.0,7,,23.814921855926514,0.015626192092895508,RF,COMPAS
0.7770061728395061,0.7770061728395061,,,,,22.88,44.76,21.88,5,5.0,8,,65.60407423973083,0.015624761581420898,RF,NURSERY
0.8166666666666667,0.4117647058823529,0.6282621910744356,0.6912028725314183,0.2932216298552932,0.963302752293578,30.95,60.9,29.95,5,5.0,29,,195.32524847984314,0.005258083343505859,RF,DEFAULT
0.9997766860205449,0.9997766860205449,,,,,14.22,27.44,13.22,5,5.0,5,,48.64601373672485,0.01561880111694336,RF,LAW
0.8707482993197279,0.13636363636363635,0.5345399698340875,0.6,0.07692307692307693,0.9921568627450981,24.5,48.0,23.5,5,5.0,50,,30.221721649169922,0.0,RF,ATTRITION
0.9010425568278927,0.9010425568278927,,,,,22.95,44.9,21.95,5,5.0,48,,996.7944633960724,0.06254887580871582,RF,SENSORLESS
0.9873500367256999,0.9919888360554062,0.9909736631439243,0.9992450865547312,0.9848372116889448,0.9971101145989039,28.28,55.56,27.28,5,5.0,3,,649.6651101112366,0.1122276782989502,RF,SKINNONSKIN
