accuracy,f1,auc,precision,recall,specificity,#leaves,#nodes,#rules,max_depth,avg_depth,features_used,imbalanced,fit_time,predict_time,model,problem
0.9672727272727273,0.963265306122449,0.9645669291338583,1.0,0.9291338582677166,1.0,18,35,17,5,4.444444444444445,4,True,0.44945263862609863,0.0,Tree,BANKNOTE
0.6120689655172413,0.11764705882352941,0.5006371455877667,0.375,0.06976744186046512,0.9315068493150684,11,21,10,4,3.6363636363636362,7,True,0.47907471656799316,0.0,Tree,ILPD
0.8873239436619719,0.9090909090909091,0.8758305647840531,0.8888888888888888,0.9302325581395349,0.8214285714285714,3,5,2,2,1.6666666666666665,2,True,0.5562503337860107,0.0,Tree,IONOSPHERE
0.7866666666666666,0.42857142857142855,0.6311887108347285,0.631578947368421,0.32432432432432434,0.9380530973451328,8,15,7,3,3.0,4,False,0.39084744453430176,0.0,Tree,TRANSFUSION
0.6666666666666666,0.7160493827160493,0.66005291005291,0.7435897435897436,0.6904761904761905,0.6296296296296297,16,31,15,4,4.0,6,False,0.38770461082458496,0.0,Tree,LIVER
0.9114583333333334,0.9333333333333333,0.893910447761194,0.9153846153846154,0.952,0.835820895522388,22,43,21,5,4.636363636363637,18,True,0.5183224678039551,0.0,Tree,TICTACTOE
0.956140350877193,0.9411764705882353,0.9510317720275139,0.9523809523809523,0.9302325581395349,0.971830985915493,12,23,11,5,3.75,11,True,0.6950936317443848,0.0,Tree,WDBC
0.9865891819400984,0.5945945945945946,0.7195427526291723,0.9166666666666666,0.44,0.9990855052583447,8,15,7,3,3.0,5,False,1.0857467651367188,0.0,Tree,MAMMOGRAPHY
0.7857142857142857,0.6732673267326733,0.7484848484848484,0.7391304347826086,0.6181818181818182,0.8787878787878788,26,51,25,5,4.769230769230769,6,True,0.4382498264312744,0.0,Tree,DIABETES_PIMA
0.9680851063829787,0.625,0.9029304029304029,0.5,0.8333333333333334,0.9725274725274725,4,7,3,2,2.0,2,False,0.8986265659332275,0.0,Tree,OILSPILL
0.816836262719704,0.6990881458966566,0.7919265232230794,0.6686046511627907,0.732484076433121,0.8513689700130378,27,53,26,5,4.851851851851851,5,True,0.8594844341278076,0.0020198822021484375,Tree,PHONEME
0.8095238095238095,0.8095238095238095,,,,,4,7,3,2,2.0,3,False,0.38492536544799805,0.0,Tree,SEEDS
0.9444444444444444,0.9444444444444444,,,,,7,13,6,4,3.0,5,True,0.47951292991638184,0.0,Tree,WINE
0.7209302325581395,0.7209302325581395,,,,,12,23,11,4,3.6666666666666665,6,True,0.3577260971069336,0.0,Tree,GLASS
0.8088235294117647,0.8088235294117647,,,,,14,27,13,4,3.857142857142857,6,True,0.38709545135498047,0.0,Tree,ECOLI
1.0,1.0,1.0,1.0,1.0,1.0,12,23,11,5,3.9166666666666665,10,True,1.6941425800323486,0.0029878616333007812,Tree,MUSHROOM
0.7948947604120018,0.7877664504170528,0.7949682587398985,0.7791017415215399,0.7966260543580131,0.7933104631217839,29,57,28,5,4.896551724137931,13,True,1.7890384197235107,0.002224445343017578,Tree,BANK_MKT
0.9836065573770492,0.9824561403508771,0.9848484848484849,0.9655172413793104,1.0,0.9696969696969697,3,5,2,2,1.6666666666666665,2,True,0.47753024101257324,0.0,Tree,HEARTS
0.9393939393939394,0.7849462365591398,0.84163153157421,0.8957055214723927,0.6985645933014354,0.9846984698469847,27,53,26,5,4.851851851851851,23,True,9.173573732376099,0.0,Tree,MUSK
0.8228180862250263,0.8743006340917568,0.7688334785133567,0.8077188146106133,0.9528455284552846,0.5848214285714286,31,61,30,5,4.967741935483871,7,True,4.442779302597046,0.0022666454315185547,Tree,MAGIC
0.7230769230769231,0.7230769230769231,,,,,16,31,15,4,4.0,10,False,0.6021947860717773,0.0,Tree,STUDENT
0.8504529402732995,0.6259600614439325,0.737333076417184,0.7889641819941917,0.5187778485041374,0.9558883043302306,28,55,27,5,4.892857142857142,10,True,5.4857017993927,0.0,Tree,ADULT
0.6889204545454546,0.6736214605067065,0.692224410253058,0.6312849162011173,0.7220447284345048,0.6624040920716112,31,61,30,5,4.967741935483871,7,True,0.42202115058898926,0.0,Tree,COMPAS
0.7789351851851852,0.7789351851851852,,,,,17,33,16,5,4.764705882352941,6,True,0.6454677581787109,0.0,Tree,NURSERY
0.821,0.46936758893280633,0.6557074541873449,0.6680731364275668,0.3617669459253618,0.9496479624493279,8,15,7,3,3.0,7,False,7.446492671966553,0.0,Tree,DEFAULT
1.0,1.0,,,,,6,11,5,5,3.3333333333333335,1,True,0.5913958549499512,0.0,Tree,LAW
0.8537414965986394,0.044444444444444446,0.5030165912518852,0.16666666666666666,0.02564102564102564,0.9803921568627451,4,7,3,2,2.0,3,False,0.780123233795166,0.015627622604370117,Tree,ATTRITION
0.7152623483165271,0.7152623483165271,,,,,18,35,17,5,4.666666666666666,8,True,58.844971656799316,0.004992961883544922,Tree,SENSORLESS
0.9842283522402677,0.9899996118866191,0.9879380387593062,0.9984864300626305,0.9816558483208045,0.9942202291978077,29,57,28,5,4.896551724137931,3,True,9.046709299087524,0.015619277954101562,Tree,SKINNONSKIN
