,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy
model,BinOCT,FlowOCT,GOSDT,OCT,RF,Tree
problem,,,,,,
ADULT,x,x,84.28,86.18,84.22,85.05
ATTRITION,x,x,x,85.37,87.07,85.37
BANKNOTE,97.82,94.55,96.36,97.45,98.55,96.73
BANK_MKT,x,x,70.35,80.74,80.07,79.49
COMPAS,68.32,67.33,67.61,67.61,68.47,68.89
DEFAULT,x,x,99.85,82.12,81.67,82.1
DIABETES_PIMA,74.03,72.08,72.73,77.27,77.27,78.57
ECOLI,76.47,83.82,61.76,79.41,88.24,80.88
GLASS,74.42,55.81,58.14,83.72,76.74,72.09
HEARTS,98.36,98.36,98.36,98.36,98.36,98.36
ILPD,63.79,62.93,67.24,62.93,63.79,61.21
IONOSPHERE,x,71.83,91.55,88.73,91.55,88.73
LAW,98.5,98.5,98.62,100.0,99.98,100.0
LIVER,66.67,60.87,66.67,65.22,75.36,66.67
MAGIC,x,x,82.39,84.07,83.78,82.28
MAMMOGRAPHY,98.48,97.76,x,98.88,98.79,98.66
MUSHROOM,x,x,98.46,100.0,99.08,100.0
MUSK,x,x,91.36,96.89,94.32,93.94
NURSERY,22.84,x,76.77,78.51,77.7,77.89
OILSPILL,97.34,96.81,96.81,97.34,97.87,96.81
PHONEME,x,73.54,79.93,84.55,82.98,81.68
SEEDS,85.71,88.1,85.71,88.1,85.71,80.95
SENSORLESS,x,x,x,87.97,90.1,71.53
SKINNONSKIN,x,x,91.55,99.54,98.74,98.42
STUDENT,73.85,73.85,46.92,73.85,71.54,72.31
TICTACTOE,91.67,68.75,75.0,88.02,82.81,91.15
TRANSFUSION,72.0,73.33,76.0,78.67,76.0,78.67
WDBC,x,96.49,96.49,96.49,96.49,95.61
WINE,97.22,97.22,88.89,94.44,100.0,94.44
