model,BinOCT,BinOCT,FlowOCT,FlowOCT,GOSDT,GOSDT,OCT,OCT,RF,RF,Tree,Tree
multi_class,False,True,False,True,False,True,False,True,False,True,False,True
Metric,,,,,,,,,,,,
accuracy,82.85,75.57,79.59,82.88,84.37,73.83,86.5,85.75,86.54,86.25,86.11,81.26
f1,62.21,75.57,53.44,82.88,73.29,73.83,71.99,85.75,69.89,86.25,70.64,81.26
#leaves,14.8,16.57,13.08,12.5,5.58,5.0,10.67,9.62,20.75,16.89,17.0,11.75
#nodes,28.6,32.14,25.15,24.0,10.16,9.0,20.33,18.25,40.51,32.78,33.0,22.5
#rules,13.8,15.57,12.08,11.5,4.58,4.0,9.67,8.62,19.75,15.89,16.0,10.75
max_depth,3.4,3.71,3.69,3.5,3.42,2.86,3.52,3.75,4.67,4.62,4.05,4.12
avg_depth,3.4,3.71,3.59,3.43,2.63,2.37,3.06,3.19,4.65,4.61,3.8,3.66
percent_features_used,x,x,13.27,8.44,28.62,29.84,36.04,36.01,95.17,100.0,52.55,47.08
imbalanced,0.0,0.0,30.77,33.33,84.21,71.43,90.48,87.5,x,x,71.43,75.0
fit_time,569.5,595.71,594.32,601.69,12.91,6.85,299.75,684.96,80.11,151.91,2.26,7.79
predict_time,0.0,0.0,0.07,0.05,7.46,0.03,0.13,0.13,0.01,0.01,0.0,0.0
Count(problems),10,7,13.0,6.0,19.0,7.0,21.0,8.0,21,8,21.0,8.0
